venue_name,venue_id,hrs,trips,lob,attendance,temp,time,date,
Minute Maid Park,2392,4,1,15,20725,73,190,May 13, 2015,
Progressive Field,5,0,0,15,12313,49,167,May 13, 2015,
Oriole Park at Camden Yards,2,1,0,16,24654,66,159,May 13, 2015,
Chase Field,15,3,1,18,19026,85,218,May 13, 2015,
Safeco Field,680,1,0,18,20172,63,173,May 14, 2015,
Dodger Stadium,22,2,0,17,42650,59,191,May 14, 2015,
Globe Life Park in Arlington,13,1,0,17,33818,76,191,May 14, 2015,
Comerica Park,2394,4,2,13,31785,56,183,May 14, 2015,
Tropicana Field,12,2,0,11,11977,72,165,May 14, 2015,
Wrigley Field,17,4,0,11,31496,57,169,May 14, 2015,
Citizens Bank Park,2681,1,0,14,29205,67,160,May 14, 2015,
Great American Ball Park,2602,1,1,13,21792,69,178,May 14, 2015,
Progressive Field,5,2,1,15,15865,56,192,May 14, 2015,
Minute Maid Park,2392,2,0,10,15777,73,168,May 14, 2015,
Petco Park,2680,3,1,15,22710,60,164,May 14, 2015,
Oriole Park at Camden Yards,2,2,0,9,35470,70,143,May 15, 2015,
Citizens Bank Park,2681,0,0,14,21383,73,185,May 15, 2015,
Marlins Park,4169,2,0,18,18334,75,190,May 15, 2015,
Safeco Field,680,1,1,8,39477,64,152,May 15, 2015,
O.co Coliseum,10,1,1,18,21464,55,214,May 15, 2015,
Globe Life Park in Arlington,13,3,0,17,29524,77,197,May 15, 2015,
Dodger Stadium,22,1,0,19,46662,65,214,May 15, 2015,
Busch Stadium,2889,5,1,19,45601,74,206,May 15, 2015,
Citi Field,3289,3,0,7,27554,64,138,May 15, 2015,
Kauffman Stadium,7,0,3,16,34584,77,192,May 15, 2015,
Wrigley Field,17,5,0,28,33617,73,301,May 15, 2015,
Great American Ball Park,2602,4,0,14,39867,80,173,May 15, 2015,
Target Field,3312,2,1,13,24018,64,149,May 15, 2015,
Minute Maid Park,2392,3,0,10,21653,73,149,May 15, 2015,
Petco Park,2680,1,0,14,26166,64,163,May 15, 2015,
Oriole Park at Camden Yards,2,3,0,8,29102,69,148,May 16, 2015,
Citizens Bank Park,2681,3,0,16,33649,83,194,May 16, 2015,
Marlins Park,4169,2,0,15,18166,75,179,May 16, 2015,
Safeco Field,680,4,0,14,45055,62,168,May 16, 2015,
O.co Coliseum,10,1,0,15,28445,58,186,May 16, 2015,
Globe Life Park in Arlington,13,4,1,16,31045,84,217,May 16, 2015,
Dodger Stadium,22,3,0,10,48378,66,174,May 16, 2015,
Busch Stadium,2889,4,1,20,45313,75,234,May 16, 2015,
Citi Field,3289,3,0,9,30208,71,176,May 16, 2015,
Kauffman Stadium,7,2,0,16,31871,78,172,May 16, 2015,
Wrigley Field,17,1,0,18,38883,79,185,May 16, 2015,
Great American Ball Park,2602,4,1,16,40889,73,173,May 16, 2015,
Target Field,3312,3,1,13,27128,69,183,May 16, 2015,
Minute Maid Park,2392,4,1,12,27102,73,188,May 16, 2015,
Petco Park,2680,0,0,14,45282,65,173,May 16, 2015,
Oriole Park at Camden Yards,2,0,0,9,41733,81,140,May 17, 2015,
Citizens Bank Park,2681,2,1,18,22123,82,172,May 17, 2015,
Marlins Park,4169,0,0,8,23075,74,135,May 17, 2015,
Safeco Field,680,2,0,11,39936,60,151,May 17, 2015,
O.co Coliseum,10,2,0,14,33195,55,176,May 17, 2015,
Globe Life Park in Arlington,13,1,0,13,32189,76,169,May 17, 2015,
Dodger Stadium,22,0,0,12,44990,66,160,May 17, 2015,
Busch Stadium,2889,1,1,17,43654,80,177,May 17, 2015,
Citi Field,3289,1,0,14,32422,79,169,May 17, 2015,
Kauffman Stadium,7,1,0,14,31251,74,183,May 17, 2015,
Wrigley Field,17,0,0,15,36289,77,187,May 17, 2015,
Great American Ball Park,2602,4,0,20,39209,79,205,May 17, 2015,
Target Field,3312,0,0,15,23708,73,197,May 17, 2015,
Minute Maid Park,2392,2,0,12,25307,73,142,May 17, 2015,
Petco Park,2680,5,1,7,37032,66,184,May 17, 2015,
Rogers Centre,14,4,0,17,29306,72,208,May 18, 2015,
Marlins Park,4169,1,0,9,17526,74,191,May 18, 2015,
U.S. Cellular Field,4,0,1,10,17712,67,154,May 18, 2015,
Comerica Park,2394,2,1,13,26016,80,193,May 18, 2015,
Minute Maid Park,2392,0,0,15,21724,73,195,May 18, 2015,
Coors Field,19,0,1,15,24061,49,194,May 18, 2015,
Citi Field,3289,0,0,20,23338,62,254,May 18, 2015,
Rogers Centre,14,2,0,11,15062,68,152,May 19, 2015,
