team,game_id,runs_for,h,d,t,hr,tb,bb,sb,sac,sf,sacsf,runs_against,qs,so,saves,holds,batting_team,pitching_team,
det,2015/06/06/detmlb-chamlb-1,7,18,3,0,1,24,2,1,0,0,0,1,1,11,0,0,Buena Vista Bottoms,Damnedest of the Nice,
tor,2015/06/06/houmlb-tormlb-1,7,10,4,0,0,14,5,5,2,1,3,2,1,10,0,1,Buena Vista Bottoms,,
hou,2015/06/06/houmlb-tormlb-1,2,8,0,0,1,11,1,0,0,0,0,7,0,7,0,0,Portlandia Misfits,Paly Players,
col,2015/06/06/miamlb-colmlb-1,10,17,1,2,3,31,2,0,0,0,0,5,1,8,0,0,Portlandia Misfits,,
mia,2015/06/06/miamlb-colmlb-1,5,13,3,2,0,20,2,0,0,0,0,10,0,5,0,0,The Rube,Buena Vista Bottoms,
min,2015/06/06/milmlb-minmlb-1,2,7,2,0,1,12,1,0,2,0,2,4,0,7,0,0,Buena Vista Bottoms,,
mil,2015/06/06/milmlb-minmlb-1,4,10,1,0,1,14,4,1,1,0,1,2,1,5,1,1,No-Talent Ass Clowns,Detroit Noojies (aka dbags),
ari,2015/06/06/nynmlb-arimlb-1,2,6,0,0,1,9,2,0,0,0,0,1,0,8,1,1,No-Talent Ass Clowns,Dr. Watson,
nyn,2015/06/06/nynmlb-arimlb-1,1,10,0,0,1,13,2,0,0,0,0,2,1,8,0,0,,Dr. Watson,
bos,2015/06/06/oakmlb-bosmlb-1,4,11,3,0,1,17,6,1,0,0,0,2,1,10,1,3,Dr. Watson,,
oak,2015/06/06/oakmlb-bosmlb-1,2,5,1,1,1,11,4,0,0,0,0,4,0,8,0,0,The Rube,Buena Vista Bottoms,
atl,2015/06/06/pitmlb-atlmlb-1,5,9,0,0,2,15,2,2,1,1,2,4,0,6,0,0,Damnedest of the Nice,Damnedest of the Nice,
pit,2015/06/06/pitmlb-atlmlb-1,4,6,0,0,1,9,0,0,0,0,0,5,0,5,0,0,Paly Players,The Rube,
cin,2015/06/06/sdnmlb-cinmlb-1,7,11,3,1,1,19,6,0,2,0,2,9,1,10,0,0,Detroit Noojies (aka dbags),The Rube,
sdn,2015/06/06/sdnmlb-cinmlb-1,9,10,2,0,2,18,8,0,0,0,0,7,0,6,1,1,No-Talent Ass Clowns,Dr. Watson,
