team,first_name,last_name,player,date,gamekey,status,pitcherp,W,SV,ER,QS,DP,HR,SB,H,ASS,BB
Pierzinskis Misspelled D-Bags,Trevor,Rosenthal,572096,2014-07-04,2014_07_04_miamlb_slnmlb_1,F,1,0,1,2,0,1,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Trevor,Rosenthal,572096,2014-07-05,2014_07_05_miamlb_slnmlb_1,F,1,0,0,2,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Trevor,Rosenthal,572096,2014-07-08,2014_07_08_pitmlb_slnmlb_1,F,1,1,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Trevor,Rosenthal,572096,2014-07-09,2014_07_09_pitmlb_slnmlb_1,F,1,0,1,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Trevor,Rosenthal,572096,2014-07-11,2014_07_11_slnmlb_milmlb_1,F,1,0,1,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Mark,Melancon,453343,2014-07-02,2014_07_02_arimlb_pitmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Mark,Melancon,453343,2014-07-05,2014_07_05_phimlb_pitmlb_1,F,1,0,1,1,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Mark,Melancon,453343,2014-07-12,2014_07_12_pitmlb_cinmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jenrry,Mejia,516769,2014-07-02,2014_07_02_nynmlb_atlmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jenrry,Mejia,516769,2014-07-04,2014_07_04_texmlb_nynmlb_1,F,1,1,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jenrry,Mejia,516769,2014-07-06,2014_07_06_texmlb_nynmlb_1,F,1,0,0,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jenrry,Mejia,516769,2014-07-07,2014_07_07_atlmlb_nynmlb_1,F,1,0,0,1,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jenrry,Mejia,516769,2014-07-09,2014_07_09_atlmlb_nynmlb_1,F,1,0,1,0,0,0,0,0,0,0,0
Pierzinskis Misspelled D-Bags,Jenrry,Mejia,516769,2014-07-12,2014_07_12_miamlb_nynmlb_1,F,1,0,1,0,0,0,0,0,0,0,0
