bref_id,mlb_depth,debut,espn_id,cbs_name,mlb_name,bref_name,bats,lahman_id,retro_id,espn_pos,nfbc_id,yahoo_name,espn_name,yahoo_pos,nfbc_name,birth_year,mlb_id,fg_name,retro_name,wb_years,cbs_id,yahoo_id,mlb_team,bp_id,cbs_pos,nfbc_pos,mlb_team_long,fg_id,throws,mlb_pos
farnsky01,,4/29/1999,4049,Kyle Farnsworth,Kyle Farnsworth,Kyle Farnsworth,R,farnsky01,farnk001,RP,6210,Kyle Farnsworth,Kyle Farnsworth,RP,Kyle Farnsworth,1976,150035,Kyle Farnsworth,Kyle Farnsworth,-1,21546,6210,HOU,241,RP,P,Houston Astros,278,R,P
gibsoky01,SP3,6/29/2013,31053,Kyle Gibson,Kyle Gibson,Kyle Gibson,R,gibsoky01,gibsk002,SP,8864,Kyle Gibson,Kyle Gibson,SP,Kyle Gibson,1987,502043,Kyle Gibson,Kyle Gibson,2.056,1739665,8864,MIN,65801,SP,P,Minnesota Twins,10123,R,P
hendrky01,SP4,7/10/2014,33173,Kyle Hendricks,Kyle Hendricks,Kyle Hendricks,R,hendrky01,hendk001,SP,9758,Kyle Hendricks,Kyle Hendricks,SP,Kyle Hendricks,1989,543294,Kyle Hendricks,Kyle Hendricks,1.081,2108023,9758,CHC,69172,SP,P,Chicago Cubs,12049,R,P
kendrky01,SP7,6/13/2007,28804,Kyle Kendrick,Kyle Kendrick,Kyle Kendrick,R,kendrky01,kendk001,SP,8053,Kyle Kendrick,Kyle Kendrick,SP,Kyle Kendrick,1984,452718,Kyle Kendrick,Kyle Kendrick,-1,1225738,8053,COL,48029,SP,P,Colorado Rockies,6230,R,P
kubitky01,3B3,6/10/2015,32865,Kyle Kubitza,Kyle Kubitza,Kyle Kubitza,L,,kubik001,3B,9994,Kyle Kubitza,Kyle Kubitza,3B,Kyle Kubitza,1990,605323,Kyle Kubitza,Kyle Kubitza,0.052,2046358,9994,LAA,69549,3B,3B,Los Angeles Angels,12148,R,3B
lobstky01,RP8,8/23/2014,31756,Kyle Lobstein,Kyle Lobstein,Kyle Lobstein,L,lobstky01,lobsk001,SP,9794,Kyle Lobstein,Kyle Lobstein,SP/RP,Kyle Lobstein,1989,543456,Kyle Lobstein,Kyle Lobstein,1.033,1846225,9794,PIT,60011,SP,P,Pittsburgh Pirates,9178,L,P
lohseky01,,6/22/2001,4789,Kyle Lohse,Kyle Lohse,Kyle Lohse,R,lohseky01,lohsk001,SP,6751,Kyle Lohse,Kyle Lohse,SP,Kyle Lohse,1978,346798,Kyle Lohse,Kyle Lohse,-1,223481,6751,MIL,1490,SP,P,Milwaukee Brewers,739,R,P
mcpheky01,,8/20/2012,31069,Kyle McPherson,Kyle McPherson,Kyle McPherson,R,mcpheky01,mcphk001,RP,9273,Kyle McPherson,Kyle McPherson,SP/RP,Kyle McPherson,1987,519015,Kyle McPherson,Kyle McPherson,-1,2007973,9273,PIT,57198,RP,P,Pittsburgh Pirates,5009,R,P
parkeky01,,6/16/2014,31953,Kyle Parker,Kyle Parker,Kyle Parker,R,parkeky01,parkk001,LF,9568,Kyle Parker,Kyle Parker,LF,Kyle Parker,1989,592621,Kyle Parker,Kyle Parker,0.105,1765820,9568,COL,68649,LF,LF,Colorado Rockies,11763,R,RF
ryanky01,RP9,8/30/2014,33318,Kyle Ryan,Kyle Ryan,Kyle Ryan,L,ryanky01,ryank002,RP,9798,Kyle Ryan,Kyle Ryan,SP/RP,Kyle Ryan,1991,594986,Kyle Ryan,Kyle Ryan,0.113,2118877,9798,DET,67864,RP,P,Detroit Tigers,11753,L,P
schwaky01,LF1,6/16/2015,33712,Kyle Schwarber,Kyle Schwarber,Kyle Schwarber,L,,schwk001,LF,9861,Kyle Schwarber,Kyle Schwarber,LF/C,Kyle Schwarber,1993,656941,Kyle Schwarber,Kyle Schwarber,0.086,2135243,9861,CHC,103751,LF,LF,Chicago Cubs,16478,R,C
seageky01,3B1,7/7/2011,30819,Kyle Seager,Kyle Seager,Kyle Seager,L,seageky01,seagk001,3B,8984,Kyle Seager,Kyle Seager,3B,Kyle Seager,1987,572122,Kyle Seager,Kyle Seager,4.085,1741002,8984,SEA,60672,3B,3B,Seattle Mariners,9785,R,3B
skipwky01,,4/10/2013,31021,Kyle Skipworth,Kyle Skipworth,Kyle Skipworth,L,skipwky01,skipk001,C,9360,Kyle Skipworth,Kyle Skipworth,C,Kyle Skipworth,1990,543788,Kyle Skipworth,Kyle Skipworth,-1,1660695,9360,CIN,58877,C,C,Cincinnati Reds,5298,R,C
